providerEventId,providerMarketId,providerMarketName,statId,entityId,period,side,line,normalizationStatus
"0QPH7IUrjDzHoBKual5i","points-all-1h-eo-odd","Total 1st Half Points Even/Odd","points","all","1h","ODD","","UNMAPPED"
"0QPH7IUrjDzHoBKual5i","points-all-game-eo-even","Total Points Even/Odd","points","all","game","EVEN","","UNMAPPED"
"0QPH7IUrjDzHoBKual5i","points-all-game-eo-odd","Total Points Even/Odd","points","all","game","ODD","","UNMAPPED"
"0QPH7IUrjDzHoBKual5i","points-away-1h-eo-even","Atlanta Falcons 1st Half Points Even/Odd","points","away","1h","EVEN","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-away-1h-eo-odd","Atlanta Falcons 1st Half Points Even/Odd","points","away","1h","ODD","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-away-1q-eo-even","Atlanta Falcons 1st Quarter Points Even/Odd","points","away","1q","EVEN","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-away-1q-eo-odd","Atlanta Falcons 1st Quarter Points Even/Odd","points","away","1q","ODD","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-away-game-eo-even","Atlanta Falcons Points Even/Odd","points","away","game","EVEN","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-away-game-eo-odd","Atlanta Falcons Points Even/Odd","points","away","game","ODD","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-home-1h-eo-even","Green Bay Packers 1st Half Points Even/Odd","points","home","1h","EVEN","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-home-1h-eo-odd","Green Bay Packers 1st Half Points Even/Odd","points","home","1h","ODD","","PARTIALLY_MAPPED"
"0QPH7IUrjDzHoBKual5i","points-home-1q-eo-even","Green Bay Packers 1st Quarter Points Even/Odd","points","home","1q","EVEN","","PARTIALLY_MAPPED"
